LIMIT,SEX,EDUCATION,MARRIAGE,AGE,STATUS_JAN,STATUS_FEB,STATUS_MAR,STATUS_APR,STATUS_MAY,STATUS_JUN,BILL_JAN,BILL_FEB,BILL_MAR,BILL_APR,BILL_MAY,BILL_JUN,PAY_JAN,PAY_FEB,PAY_MAR,PAY_APR,PAY_MAY,PAY_JUN,DEFAULTED
500,2,2,1,24,2,2,-1,-1,-2,-2,93.912,74.448,16.536,0,0,0,0,16.536,0,0,0,0,1
2900,2,2,2,26,-1,2,0,0,0,2,64.368,41.4,64.368,78.528,82.92,78.264,0,24,24,24,0,48,1
1700,1,2,2,30,1,2,2,0,0,2,1579.248,1616.856,1576.824,1602.768,867.288,885.456,76.8,0,72,72,36,0,1
500,1,1,2,24,0,0,2,2,2,2,369.024,432.24,418.272,440.112,429.72,458.496,76.8,0,36,0,39.6,0,1
2900,2,2,1,39,-1,-1,-1,-1,-1,-1,7.584,7.584,7.584,0,15.168,7.584,7.584,7.584,0,15.168,7.584,0,1
1700,2,2,2,26,2,0,0,2,2,2,986.088,1018.68,1080.48,1056.144,1125.72,1104.288,48.168,85.968,0,86.424,0,43.68,1
10800,2,1,1,40,-2,-2,-2,-2,-2,-2,132.288,466.08,35.352,13.44,0,0,466.272,35.352,13.44,0,0,27.072,1
1400,1,1,2,27,1,-2,-1,-1,-1,-1,-2.616,-10.2,6.216,-1.368,3.048,-4.536,0,24,0,12,0,24,1
1200,1,2,2,33,2,0,0,0,0,0,732.432,710.832,530.448,545.616,557.208,568.32,41.232,36,24,24,24,17.184,1
1200,1,1,2,25,1,-1,-1,-2,-2,-2,0,18.72,0,0,0,0,18.72,0,0,0,0,0,1
5000,1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
500,2,1,2,22,0,0,2,-1,0,0,336.672,395.616,379.2,392.184,400.2,0,72,0,401.784,8.016,0,0,1
3600,2,5,2,46,0,0,-1,0,0,-2,107.112,72.816,28.08,28.08,0,0,24.312,28.08,0,0,0,0,1
1700,1,3,2,42,1,2,2,2,2,0,889.008,868.104,920.52,946.152,927.816,944.688,0,74.4,48,0,36,36,1
12000,2,3,1,28,0,0,0,0,0,0,548.352,567.312,453.072,358.488,331.848,373.704,36.384,31.2,24,24,48,48,1
1200,1,1,2,29,2,2,2,2,2,2,599.688,583.2,638.184,620.76,664.008,678.336,0,64.8,0,53.4,28.8,0,1
1200,2,2,1,46,0,0,0,-2,-2,-2,689.232,699.984,0,0,0,0,24,0,0,0,0,0,1
4800,1,1,1,57,-2,-2,-2,-1,2,2,3660.456,3570.024,3457.824,196.176,196.752,190.032,0,0,197.328,7.2,0,24,1
200,1,2,1,56,2,2,2,0,0,0,50.328,100.632,95.472,97.488,100.704,103.824,55.2,0,3.6,4.8,4.8,3.84,1
