age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
23,student,single,secondary,no,107,no,no,cellular,14,84,1,183,1,success,yes
44,technician,single,secondary,no,1679,no,no,telephone,20,718,1,-1,0,unknown,yes
63,retired,married,secondary,no,18016,no,no,cellular,7,371,1,-1,0,unknown,yes
29,management,single,tertiary,no,697,no,no,cellular,30,365,1,85,1,success,yes
24,student,single,secondary,no,1809,no,no,cellular,11,165,1,95,2,success,yes
59,management,married,tertiary,no,296,no,yes,cellular,15,805,3,-1,0,unknown,yes
60,management,married,tertiary,no,3301,no,no,unknown,17,2621,3,-1,0,unknown,yes
41,self-employed,married,secondary,no,323,yes,no,cellular,17,949,2,254,6,other,yes
62,management,married,tertiary,no,7458,no,no,cellular,30,212,2,-1,0,unknown,yes
31,admin.,married,secondary,no,35,no,no,cellular,13,315,2,105,1,success,yes
38,management,single,tertiary,no,623,no,no,cellular,28,297,4,144,4,other,yes
59,retired,married,primary,no,2074,no,no,cellular,21,467,1,186,2,success,yes
57,technician,married,tertiary,no,6822,no,no,cellular,7,797,2,-1,0,unknown,yes
58,unemployed,married,secondary,no,1625,no,no,cellular,5,286,2,-1,0,unknown,yes
34,admin.,married,secondary,no,869,no,no,unknown,6,1677,1,-1,0,unknown,yes
24,student,single,secondary,no,125,no,no,cellular,9,263,1,90,1,failure,yes
31,management,single,tertiary,no,2907,yes,no,cellular,12,248,1,194,3,failure,yes
60,management,single,tertiary,no,1034,yes,no,cellular,7,231,3,-1,0,unknown,yes
30,management,married,tertiary,no,10884,no,no,cellular,4,333,2,-1,0,unknown,yes
32,technician,single,tertiary,no,705,no,no,cellular,17,544,1,-1,0,unknown,yes
65,management,married,secondary,no,587,no,no,cellular,15,223,2,-1,0,unknown,yes
51,unemployed,divorced,tertiary,no,0,no,no,cellular,31,574,2,-1,0,unknown,yes
23,student,single,secondary,no,381,no,no,cellular,23,696,1,189,2,other,yes
76,self-employed,married,unknown,no,4984,no,no,telephone,28,403,1,182,1,success,yes
31,management,single,tertiary,no,924,no,no,cellular,7,231,1,94,3,success,yes
35,admin.,single,tertiary,no,994,no,no,cellular,30,400,1,87,2,failure,yes
28,technician,single,secondary,no,227,no,no,cellular,30,278,1,-1,0,unknown,yes
40,management,married,tertiary,no,0,no,no,cellular,6,131,2,98,6,success,yes
25,student,single,secondary,no,8,no,no,cellular,22,107,2,-1,0,unknown,yes
31,technician,single,tertiary,no,208,no,no,cellular,12,1344,7,-1,0,unknown,yes
36,blue-collar,married,secondary,no,249,yes,no,cellular,15,709,5,-1,0,unknown,yes
46,blue-collar,married,primary,no,874,no,no,cellular,6,996,1,-1,0,unknown,yes
51,self-employed,single,secondary,no,0,no,no,cellular,29,1707,2,-1,0,unknown,yes
34,management,married,tertiary,no,3301,yes,no,cellular,17,164,5,92,6,success,yes
52,management,married,tertiary,no,576,no,no,cellular,18,762,3,-1,0,unknown,yes
58,unknown,married,unknown,no,1547,no,no,telephone,5,1186,4,-1,0,unknown,yes
29,technician,single,tertiary,no,1669,no,no,cellular,3,297,1,-1,0,unknown,yes
31,management,divorced,tertiary,no,254,no,no,cellular,18,1576,8,-1,0,unknown,yes
35,admin.,divorced,secondary,no,534,no,no,cellular,15,669,1,312,3,failure,yes
32,self-employed,married,primary,no,102,yes,no,cellular,18,560,1,-1,0,unknown,yes
56,retired,married,primary,no,9367,no,no,telephone,13,271,2,92,4,success,yes
29,technician,single,secondary,no,1165,no,no,cellular,3,244,2,184,1,success,yes
35,self-employed,married,tertiary,no,2427,no,no,cellular,12,210,3,158,7,other,yes
37,services,single,secondary,no,1045,no,no,cellular,17,406,2,41,1,failure,yes
50,blue-collar,married,primary,no,4979,no,no,telephone,6,180,1,-1,0,unknown,yes
24,blue-collar,single,secondary,no,167,no,yes,cellular,18,134,2,-1,0,unknown,yes
27,admin.,married,secondary,no,0,yes,no,cellular,6,837,1,-1,0,unknown,yes
32,student,single,tertiary,no,1138,no,no,cellular,4,214,3,83,3,success,yes
43,technician,single,secondary,no,451,no,no,cellular,12,289,2,-1,0,unknown,yes
