age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
31,technician,married,secondary,no,684,yes,no,cellular,7,620,3,-1,0,unknown,yes
45,technician,single,tertiary,no,2033,no,no,cellular,15,243,5,285,2,success,yes
25,blue-collar,single,secondary,no,189,no,yes,cellular,8,687,2,-1,0,unknown,yes
62,retired,married,primary,no,1084,no,no,cellular,14,505,1,-1,0,unknown,yes
35,technician,single,secondary,no,344,no,no,cellular,27,519,16,-1,0,unknown,yes
30,management,single,tertiary,no,4808,no,no,cellular,10,272,1,-1,0,unknown,yes
35,student,married,tertiary,no,387,yes,no,cellular,8,1024,3,347,3,failure,yes
37,admin.,married,secondary,no,1314,yes,no,cellular,12,118,4,210,3,failure,yes
37,technician,married,secondary,no,432,yes,no,cellular,6,386,3,776,55,failure,yes
49,management,married,tertiary,no,0,no,no,telephone,17,223,1,-1,0,unknown,yes
26,management,single,tertiary,no,6840,yes,no,unknown,28,1560,2,-1,0,unknown,yes
62,management,married,tertiary,no,557,no,no,cellular,14,185,1,-1,0,unknown,yes
57,technician,divorced,tertiary,no,96,no,no,cellular,21,913,4,-1,0,unknown,yes
70,retired,married,primary,no,6538,no,no,cellular,9,394,1,-1,0,unknown,yes
28,technician,single,secondary,yes,-1042,yes,no,unknown,6,712,2,-1,0,unknown,yes
71,retired,married,tertiary,no,14220,yes,no,cellular,9,397,1,-1,0,unknown,yes
31,management,single,tertiary,no,147,no,no,cellular,9,163,2,92,3,success,yes
23,management,single,tertiary,no,2143,no,no,cellular,30,180,2,-1,0,unknown,yes
32,management,married,tertiary,no,6138,no,no,cellular,29,519,2,90,9,failure,yes
57,admin.,married,secondary,no,169,no,no,cellular,3,369,1,-1,0,unknown,yes
56,management,married,tertiary,no,1390,yes,no,cellular,18,543,1,-1,0,unknown,yes
48,admin.,divorced,secondary,no,83,yes,no,cellular,13,1101,1,-1,0,unknown,yes
60,management,single,tertiary,no,1034,yes,no,cellular,7,231,3,-1,0,unknown,yes
39,entrepreneur,married,secondary,no,2139,yes,no,cellular,15,576,4,371,1,failure,yes
71,retired,married,primary,no,4657,no,no,cellular,16,93,5,-1,0,unknown,yes
53,management,married,tertiary,no,1624,no,no,cellular,11,166,3,97,7,success,yes
37,management,married,tertiary,no,0,no,no,cellular,16,268,2,182,3,success,yes
32,services,single,secondary,no,152,yes,no,cellular,25,158,2,-1,0,unknown,yes
37,management,married,tertiary,no,57,no,no,cellular,5,345,1,-1,0,unknown,yes
34,services,single,secondary,no,-30,no,no,cellular,21,1360,3,-1,0,unknown,yes
37,admin.,married,secondary,no,1314,yes,no,cellular,12,118,4,210,3,failure,yes
35,management,single,tertiary,no,1618,yes,yes,cellular,7,542,1,-1,0,unknown,yes
60,retired,divorced,secondary,no,1091,no,no,cellular,30,441,5,-1,0,unknown,yes
41,blue-collar,married,secondary,no,-190,no,yes,cellular,29,808,3,-1,0,unknown,yes
26,management,single,tertiary,no,45,no,no,cellular,10,1187,3,-1,0,unknown,yes
53,management,married,tertiary,no,597,no,no,unknown,22,392,1,-1,0,unknown,yes
38,admin.,married,secondary,no,1767,yes,no,cellular,12,893,7,-1,0,unknown,yes
34,management,single,tertiary,no,1228,no,no,cellular,5,263,8,-1,0,unknown,yes
56,management,married,primary,no,870,no,no,cellular,16,257,1,-1,0,unknown,yes
33,management,married,tertiary,no,1323,no,no,cellular,1,327,1,-1,0,unknown,yes
35,management,single,tertiary,no,1618,yes,yes,cellular,7,542,1,-1,0,unknown,yes
52,admin.,divorced,secondary,no,363,yes,no,cellular,21,168,1,462,1,success,yes
28,self-employed,single,tertiary,no,3290,no,no,cellular,5,201,2,-1,0,unknown,yes
30,entrepreneur,married,primary,no,2686,yes,no,cellular,15,808,3,-1,0,unknown,yes
22,student,single,primary,no,3472,no,no,cellular,19,529,1,181,4,success,yes
53,admin.,married,secondary,no,849,yes,no,cellular,6,3102,3,-1,0,unknown,yes
57,management,married,tertiary,no,1318,no,no,cellular,16,115,1,185,2,failure,yes
71,retired,married,primary,no,2600,no,no,cellular,7,212,1,-1,0,unknown,yes
35,admin.,single,tertiary,no,994,no,no,cellular,30,400,1,87,2,failure,yes
35,blue-collar,divorced,primary,no,300,yes,no,unknown,13,945,2,-1,0,unknown,yes
37,blue-collar,divorced,secondary,no,0,yes,no,cellular,21,146,4,-1,0,unknown,yes
26,student,single,secondary,no,4613,no,no,cellular,28,663,3,196,2,other,yes
24,student,single,unknown,no,358,no,no,cellular,14,245,1,384,1,other,yes
31,management,married,secondary,no,8629,yes,no,cellular,21,957,1,184,2,failure,yes
34,admin.,married,secondary,no,2374,yes,no,cellular,9,161,1,209,2,failure,yes
