age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
40,management,married,tertiary,no,-17,yes,yes,cellular,11,474,1,256,1,success,yes
55,management,divorced,tertiary,no,2037,no,no,cellular,4,305,2,94,3,success,yes
34,student,single,unknown,no,1011,no,no,cellular,1,253,1,-1,0,unknown,yes
39,technician,married,secondary,no,4101,yes,no,cellular,18,146,2,264,1,other,yes
26,blue-collar,single,secondary,no,1006,yes,no,cellular,14,667,1,-1,0,unknown,yes
40,technician,divorced,secondary,no,311,no,no,cellular,6,738,2,-1,0,unknown,yes
35,management,single,tertiary,no,68,no,no,unknown,6,1085,1,-1,0,unknown,yes
33,student,married,secondary,no,1536,no,no,cellular,9,359,1,92,3,success,yes
55,management,married,tertiary,no,3848,yes,no,cellular,8,222,2,-1,0,unknown,yes
47,blue-collar,divorced,primary,no,126,yes,no,unknown,3,2456,2,-1,0,unknown,yes
66,admin.,married,secondary,no,4041,no,no,cellular,14,713,2,-1,0,unknown,yes
42,blue-collar,divorced,primary,no,301,yes,no,cellular,17,1175,2,-1,0,unknown,yes
35,unemployed,single,tertiary,no,415,no,no,cellular,4,462,1,92,4,success,yes
56,management,married,unknown,no,4623,no,no,cellular,25,305,1,192,1,success,yes
29,management,single,tertiary,no,437,no,no,cellular,5,504,1,92,1,success,yes
28,self-employed,married,secondary,no,-522,yes,yes,cellular,18,638,2,-1,0,unknown,yes
33,technician,married,secondary,no,303,yes,no,cellular,3,355,1,301,5,success,yes
44,blue-collar,married,unknown,no,146,yes,no,unknown,15,483,1,-1,0,unknown,yes
34,admin.,married,tertiary,no,899,yes,no,unknown,12,114,1,170,3,failure,yes
60,technician,married,secondary,no,294,no,no,telephone,3,206,4,-1,0,unknown,yes
49,services,married,secondary,no,7019,yes,no,cellular,2,263,1,368,3,failure,yes
37,management,divorced,tertiary,no,488,yes,no,cellular,17,328,1,854,2,failure,yes
65,entrepreneur,married,tertiary,no,2331,no,no,telephone,11,425,1,183,2,success,yes
54,admin.,divorced,secondary,no,1872,no,no,cellular,13,439,5,-1,0,unknown,yes
47,self-employed,married,secondary,no,4420,yes,yes,cellular,20,454,1,-1,0,unknown,yes
92,retired,married,unknown,no,775,no,no,cellular,26,164,4,96,3,success,yes
49,services,divorced,secondary,no,0,no,no,cellular,28,412,2,-1,0,unknown,yes
37,management,single,tertiary,no,22125,no,yes,cellular,21,331,2,-1,0,unknown,yes
54,admin.,married,tertiary,no,184,no,no,unknown,5,673,2,-1,0,unknown,yes
31,management,single,tertiary,no,9421,no,no,cellular,25,372,1,-1,0,unknown,yes
33,admin.,single,secondary,no,1277,yes,no,cellular,18,827,1,-1,0,unknown,yes
36,management,married,tertiary,no,255,no,no,cellular,22,970,2,92,2,other,yes
31,technician,married,secondary,no,180,no,no,cellular,17,299,2,-1,0,unknown,yes
59,blue-collar,divorced,primary,no,989,no,no,cellular,20,125,2,-1,0,unknown,yes
43,management,divorced,tertiary,no,2367,no,no,cellular,22,173,2,181,4,success,yes
48,blue-collar,married,secondary,no,1596,yes,no,unknown,14,760,1,-1,0,unknown,yes
28,technician,single,tertiary,no,0,yes,no,cellular,25,269,1,40,2,failure,yes
42,unemployed,married,tertiary,no,576,no,no,cellular,3,447,2,96,1,success,yes
53,admin.,married,secondary,no,3765,no,no,unknown,20,1094,3,-1,0,unknown,yes
41,management,married,tertiary,no,27696,no,no,cellular,12,147,2,104,1,failure,yes
59,admin.,married,secondary,no,145,yes,no,telephone,12,556,2,287,13,success,yes
29,services,single,unknown,no,196,no,no,cellular,30,726,2,-1,0,unknown,yes
62,retired,divorced,tertiary,no,0,no,no,cellular,13,227,2,-1,0,unknown,yes
29,self-employed,single,tertiary,no,1579,no,no,cellular,13,190,1,92,5,success,yes
60,technician,married,primary,no,65,yes,no,unknown,9,1028,2,-1,0,unknown,yes
62,retired,married,secondary,no,1495,no,no,cellular,13,896,1,57,2,success,yes
49,blue-collar,married,primary,no,-157,yes,no,cellular,7,491,3,-1,0,unknown,yes
56,technician,married,secondary,no,589,yes,no,unknown,29,535,2,-1,0,unknown,yes
30,admin.,single,secondary,no,1309,no,no,cellular,28,622,1,-1,0,unknown,yes
31,management,married,tertiary,no,325,yes,no,cellular,18,1139,2,-1,0,unknown,yes
59,management,married,secondary,no,4412,no,no,cellular,2,162,2,-1,0,unknown,yes
43,technician,single,secondary,no,451,no,no,cellular,12,289,2,-1,0,unknown,yes
72,retired,married,primary,no,4657,no,no,cellular,22,305,3,309,5,success,yes
42,services,divorced,secondary,no,257,yes,no,cellular,12,955,2,-1,0,unknown,yes
46,management,married,tertiary,no,699,no,no,cellular,30,970,1,87,1,failure,yes
32,management,single,tertiary,no,2536,yes,no,cellular,26,958,6,-1,0,unknown,yes
30,technician,married,tertiary,no,526,yes,yes,unknown,26,677,3,-1,0,unknown,yes
30,self-employed,married,tertiary,no,2666,no,no,cellular,4,467,1,-1,0,unknown,yes
29,management,single,tertiary,no,1445,no,no,cellular,26,328,2,143,2,success,yes
35,entrepreneur,married,secondary,no,2436,no,yes,cellular,14,1397,3,-1,0,unknown,yes
41,unknown,single,unknown,no,942,no,no,cellular,27,143,1,188,1,success,yes
58,management,divorced,unknown,no,2986,no,no,cellular,16,414,1,91,5,other,yes
36,management,single,tertiary,no,436,no,no,cellular,13,567,1,595,2,failure,yes
32,student,single,tertiary,no,1138,no,no,cellular,4,214,3,83,3,success,yes
40,technician,single,tertiary,no,1646,yes,no,cellular,4,173,1,92,5,success,yes
65,entrepreneur,married,tertiary,no,2331,no,no,telephone,9,290,1,92,1,success,yes
30,blue-collar,single,secondary,yes,239,yes,no,unknown,21,412,1,-1,0,unknown,yes
56,retired,divorced,tertiary,no,158,no,yes,cellular,21,854,1,-1,0,unknown,yes
38,admin.,single,secondary,no,262,no,no,cellular,3,315,2,180,6,failure,yes
44,admin.,divorced,secondary,no,0,no,no,cellular,14,1594,1,148,1,failure,yes
43,blue-collar,single,secondary,no,3,yes,no,unknown,9,929,3,-1,0,unknown,yes
42,admin.,single,secondary,no,684,no,no,cellular,4,207,1,-1,0,unknown,yes
35,management,single,tertiary,no,431,no,no,cellular,17,343,2,397,1,failure,yes
33,management,single,tertiary,no,7084,no,no,cellular,27,512,8,-1,0,unknown,yes
47,admin.,single,secondary,no,3696,no,no,cellular,12,250,2,181,4,success,yes
61,management,married,tertiary,no,997,no,no,cellular,22,269,1,104,1,success,yes
33,services,single,secondary,no,152,yes,no,cellular,25,202,2,365,2,success,yes
32,services,married,secondary,no,689,yes,yes,cellular,16,162,3,-1,0,unknown,yes
39,technician,single,tertiary,no,393,no,no,cellular,28,325,1,94,1,success,yes
31,self-employed,single,tertiary,no,1815,no,no,telephone,9,1541,1,-1,0,unknown,yes
31,admin.,single,secondary,no,4198,no,no,cellular,25,234,1,-1,0,unknown,yes
39,unemployed,single,secondary,no,-114,yes,no,cellular,3,372,1,-1,0,unknown,yes
46,management,married,tertiary,no,699,no,no,cellular,30,970,1,87,1,failure,yes
33,self-employed,married,tertiary,no,1278,no,no,cellular,6,649,1,-1,0,unknown,yes
36,technician,single,secondary,no,3254,yes,no,unknown,27,207,1,-1,0,unknown,yes
43,services,married,primary,no,2557,yes,no,telephone,15,166,3,183,5,success,yes
70,retired,married,secondary,no,2575,no,no,telephone,20,216,2,-1,0,unknown,yes
38,unemployed,married,tertiary,no,2812,yes,no,cellular,30,830,1,-1,0,unknown,yes
50,technician,married,secondary,no,2218,yes,no,cellular,17,711,1,-1,0,unknown,yes
37,technician,married,secondary,no,480,no,no,cellular,22,344,2,182,8,other,yes
33,entrepreneur,single,tertiary,no,1623,yes,no,cellular,2,291,3,-1,0,unknown,yes
33,services,divorced,secondary,no,2411,yes,no,cellular,23,130,1,161,1,failure,yes
52,management,married,tertiary,no,7135,no,no,cellular,19,1032,3,-1,0,unknown,yes
48,unemployed,divorced,secondary,no,201,no,no,cellular,11,140,1,-1,0,unknown,yes
30,admin.,single,secondary,no,3528,no,no,cellular,4,250,1,92,2,failure,yes
55,services,married,unknown,no,2944,no,no,cellular,27,672,6,-1,0,unknown,yes
38,technician,married,secondary,no,1478,no,no,cellular,12,926,4,-1,0,unknown,yes
60,management,divorced,tertiary,no,366,no,no,cellular,3,593,1,-1,0,unknown,yes
35,technician,married,tertiary,no,328,yes,no,cellular,22,654,2,-1,0,unknown,yes
26,management,single,tertiary,no,3,yes,yes,cellular,1,149,1,350,1,success,yes
27,management,single,secondary,no,843,no,no,cellular,8,187,1,-1,0,unknown,yes
31,technician,married,secondary,no,1173,yes,no,cellular,14,444,3,-1,0,unknown,yes
35,blue-collar,single,secondary,no,4963,yes,no,cellular,14,456,1,300,1,failure,yes
50,blue-collar,married,primary,no,-522,yes,no,cellular,13,863,3,-1,0,unknown,yes
25,self-employed,single,secondary,no,1242,yes,no,unknown,28,615,2,-1,0,unknown,yes
25,services,single,unknown,no,2022,no,no,cellular,29,276,8,97,12,other,yes
57,retired,married,tertiary,no,1269,no,no,cellular,31,1120,1,-1,0,unknown,yes
30,unemployed,divorced,secondary,no,7105,no,no,cellular,22,321,2,-1,0,unknown,yes
33,technician,single,tertiary,no,3689,no,no,cellular,27,445,3,-1,0,unknown,yes
52,retired,divorced,tertiary,no,3687,yes,yes,unknown,16,741,4,-1,0,unknown,yes
61,management,married,tertiary,no,997,no,no,cellular,22,269,1,104,1,success,yes
57,technician,divorced,tertiary,no,126,no,no,telephone,4,166,2,-1,0,unknown,yes
50,management,divorced,tertiary,no,810,no,no,cellular,4,510,3,-1,0,unknown,yes
28,technician,single,secondary,no,113,no,no,cellular,13,204,3,105,1,failure,yes
24,self-employed,single,tertiary,no,2984,yes,no,unknown,27,935,1,-1,0,unknown,yes
32,blue-collar,married,primary,no,415,yes,no,unknown,2,777,4,-1,0,unknown,yes
32,technician,single,tertiary,no,5514,no,no,telephone,22,181,1,-1,0,unknown,yes
