time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,new_la_code,la_name,number_of_schools,headcount_of_pupils,Number_of_early_year_pupils_years_E1_and_E2,Number_of_nursery_pupils_years_N1_and_N2,Number_of_reception_pupils_year_R,Number_of_key_stage_1_pupils_years_1_and_2,Number_of_key_stage_2_pupils_years_3_to_6,Number_of_key_stage_3_pupils_years_7_to_9,Number_of_key_stage_4_pupils_years_10_and_11,Number_of_key_stage_5_pupils_years_12_to_14,Number_of_pupils_not_reception_or_key_stage_1_to_5,headcount_total_girls,headcount_total_boys,number_of_FSM_eligible_pupils_taking_a_free_school_meal_on_census_day,number_of_pupils_known_to_be_eligible_for_free_school_meals,Infants_taken_a_free_school_meal_on_census_day,number_of_pupils_classified_as_white_British_ethnic_origin,number_of_pupils_classified_as_Irish_ethnic_origin,number_of_pupils_classified_as_traveller_of_Irish_heritage_ethnic_origin,number_of_pupils_classified_as_any_other_white_background_ethnic_origin,number_of_pupils_classified_as_Gypsy/Roma_ethnic_origin,number_of_pupils_classified_as_white_and_black_Caribbean_ethnic_origin,number_of_pupils_classified_as_white_and_black_African_ethnic_origin,number_of_pupils_classified_as_white_and_asian_ethnic_origin,number_of_pupils_classified_as_any_other_mixed_background_ethnic_origin,number_of_pupils_classified_as_Indian_ethnic_origin,number_of_pupils_classified_as_Pakistani_ethnic_origin,number_of_pupils_classified_as_Bangladeshi_ethnic_origin,number_of_pupils_classified_as_any_other_asian_background_ethnic_origin,number_of_pupils_classified_as_Caribbean_ethnic_origin,number_of_pupils_classified_as_African_ethnic_origin,number_of_pupils_classified_as_any_other_black_background_ethnic_origin,number_of_pupils_classified_as_Chinese_ethnic_origin,number_of_pupils_classified_as_any_other_ethnic_group_ethnic_origin,number_of_pupils_classified_as_arab_ethnic_origin,number_of_pupils_unclassified,number_of_pupils_of_compulsory_school_age_and_above,number_of_pupils_whose_first_language_is_known_or_believed_to_be_English,number_of_pupils_whose_first_language_is_known_or_believed_to_be_other_than_English,number_of_pupils_whose_first_language_is_unclassified
202021,Academic year,Local authority,E92000001,England,London,E12000007,203,E09000011,Greenwich,105,48154,10,2835,3505,7098,14041,9168,5552,2473,0,24087,24067,8625,10563,9489,13112,146,27,5685,119,1186,1047,719,2356,1001,634,426,1935,1326,10461,1701,638,1234,36,893,41281,28753,15383,546
202021,Academic year,Local authority,E92000001,England,London,E12000007,305,E09000006,Bromley,119,57878,5,580,4077,7827,15781,11828,6990,5603,0,28656,29222,5939,7170,10470,29431,236,50,4299,173,1703,760,1330,2418,1859,321,307,1317,1610,3143,854,670,736,8,1466,52671,44963,7219,509
202021,Academic year,Local authority,E92000001,England,London,E12000007,210,E09000028,Southwark,123,49265,92,2310,3024,6269,12851,9988,6056,2747,0,23838,25427,13825,14283,9037,8876,195,23,3718,22,1413,924,645,2595,276,300,1009,767,3179,11679,2242,523,3026,121,1804,43083,27342,15548,447
202021,Academic year,Local authority,E92000001,England,London,E12000007,316,E09000025,Newham,111,65208,67,4303,4557,9306,19340,14052,8914,3717,0,32290,32918,14414,17348,12866,3347,46,11,7700,183,894,741,735,2424,5901,7636,14605,2948,1802,8464,2169,337,2776,584,953,56181,20616,43096,544
202021,Academic year,Local authority,E92000001,England,London,E12000007,208,E09000022,Lambeth,100,39566,56,2239,2902,5985,11891,7382,4684,2399,0,19911,19655,10445,12103,8324,5968,175,6,5718,11,1744,837,508,2583,281,500,509,556,4810,8288,1540,204,2061,63,1176,34163,20401,16901,236
202021,Academic year,Local authority,E92000001,England,London,E12000007,213,E09000033,Westminster,92,31445,17,1048,1217,2413,5383,5581,3622,3002,0,15549,15896,5757,6853,3347,2887,64,1,2975,3,401,300,386,1504,287,273,1685,867,739,2902,552,311,4429,1055,662,28633,9590,12292,401
202021,Academic year,Local authority,E92000001,England,London,E12000007,318,E09000027,Richmond upon Thames,82,39002,0,900,2387,4697,9538,5964,3528,1580,0,17961,21041,2883,3192,6334,15486,281,23,4332,20,524,379,1062,1357,854,430,172,916,136,551,137,313,783,32,806,34982,21919,6588,87
202021,Academic year,Local authority,E92000001,England,London,E12000007,201,E09000001,City of London,6,2715,0,40,30,55,145,0,0,0,0,1206,1509,26,37,84,57,0,0,29,0,3,1,11,22,7,0,101,3,5,10,0,3,12,6,0,2575,110,159,1
202021,Academic year,Local authority,E92000001,England,London,E12000007,314,E09000021,Kingston upon Thames,64,30861,8,1209,1866,3815,7602,5993,3684,2514,0,16018,14843,2732,3133,5263,11426,142,17,3706,30,427,369,1031,1222,1427,928,210,2299,138,539,129,454,1518,68,611,27506,17799,8617,275
202021,Academic year,Local authority,E92000001,England,London,E12000007,308,E09000010,Enfield,110,58472,5,2416,4288,8511,17951,12091,7687,4073,0,28479,29993,12186,13498,12051,10139,393,52,17214,110,1493,774,886,3092,1026,653,1824,1196,2503,9128,988,244,2916,335,2056,51598,29226,27518,278
202021,Academic year,Local authority,E92000001,England,London,E12000007,319,E09000029,Sutton,70,41795,26,1445,2522,5002,10376,10365,6247,4420,0,20582,21213,4667,5926,6202,17278,174,41,3695,34,857,525,1128,1672,3230,1565,416,4004,537,2326,436,783,869,11,822,37685,28022,12033,348
202021,Academic year,Local authority,E92000001,England,London,E12000007,202,E09000007,Camden,93,31683,20,1017,1446,2835,6108,4805,3302,2558,0,15977,15706,6728,8029,3832,5074,156,44,3381,16,639,359,506,1347,175,209,3113,687,480,3182,377,137,1416,118,675,27634,10779,11069,243
202021,Academic year,Local authority,E92000001,England,London,E12000007,315,E09000024,Merton,74,32825,11,1924,2294,4523,9189,5499,3196,1537,0,15550,17275,4664,6221,5684,8482,199,20,5216,55,756,455,710,1454,776,1587,378,2753,862,2312,588,276,859,6,429,28219,17040,11038,95
202021,Academic year,Local authority,E92000001,England,London,E12000007,312,E09000017,Hillingdon,111,56507,1,2912,3900,7922,15883,10946,6990,3976,0,28189,28318,7102,9374,9513,14493,306,100,4878,83,927,507,1187,3723,8783,2872,908,3118,995,3908,317,127,3594,781,923,49214,27481,24880,169
202021,Academic year,Local authority,E92000001,England,London,E12000007,212,E09000032,Wandsworth,118,44259,6,1917,2757,5390,10207,6415,3971,3515,0,21741,22518,6993,8064,7587,9042,175,2,4921,14,1370,568,887,1921,700,2941,385,1789,1795,4052,923,213,1534,61,885,38339,20254,13686,238
202021,Academic year,Local authority,E92000001,England,London,E12000007,317,E09000026,Redbridge,94,61761,0,2306,4208,8599,17267,12114,7799,6101,0,30324,31437,7351,8611,11773,6630,189,10,6385,141,900,643,1283,1780,8979,11096,8228,4351,1143,3660,733,367,890,12,974,54807,23634,34359,401
202021,Academic year,Local authority,E92000001,England,London,E12000007,209,E09000023,Lewisham,97,41233,57,1878,3386,6747,13902,7075,4644,1560,0,20424,20809,8006,9148,9376,9282,169,12,4341,20,2091,989,775,2561,359,330,273,1317,4413,6753,1866,543,1413,56,1686,35812,25665,13399,185
202021,Academic year,Local authority,E92000001,England,London,E12000007,304,E09000005,Brent,106,50456,5,2281,3537,7240,14986,9901,6395,3849,0,24371,26085,7050,8221,10080,4555,285,43,7551,64,622,528,711,1996,8236,2631,370,3539,2738,6101,751,96,5262,533,1582,44452,17365,30364,465
202021,Academic year,Local authority,E92000001,England,London,E12000007,206,E09000019,Islington,77,25249,51,1844,1905,3704,7637,4629,3018,1485,0,12033,13216,6914,9297,5372,6366,179,10,3817,10,1021,467,420,2201,178,139,1587,200,1128,3933,441,106,1379,354,337,21181,15044,9151,78
202021,Academic year,Local authority,E92000001,England,London,E12000007,310,E09000015,Harrow,74,42146,0,1140,3104,6071,12519,8018,5045,2289,0,20726,21420,5258,5731,8324,3296,280,67,6340,42,541,351,1046,1327,9325,1844,325,7093,957,2148,400,203,1980,14,607,37627,14032,24040,114
202021,Academic year,Local authority,E92000001,England,London,E12000007,302,E09000003,Barnet,168,68235,79,2747,4233,8365,17364,13773,8460,5553,0,33044,35191,8953,10479,11113,17011,548,19,13075,28,978,1015,1634,2965,3271,1114,542,2831,857,4870,660,846,6028,541,1741,60127,32349,27858,367
202021,Academic year,Local authority,E92000001,England,London,E12000007,311,E09000016,Havering,89,41217,0,1137,3439,6510,12807,9156,5755,1733,0,20327,20890,5865,6907,8933,23303,132,64,4143,53,977,597,719,941,1389,875,753,792,751,2796,845,229,403,1,774,36512,31745,8532,260
202021,Academic year,Local authority,E92000001,England,London,E12000007,207,E09000020,Kensington and Chelsea,77,24625,0,680,952,1813,3752,3161,1842,1166,2,12006,12619,3560,3887,2656,2602,139,38,2417,14,434,279,393,1360,128,120,146,170,486,1712,132,79,1896,263,560,21506,6633,6659,76
202021,Academic year,Local authority,E92000001,England,London,E12000007,313,E09000018,Hounslow,88,47219,3,2033,3342,6614,13605,9623,5965,3737,0,22792,24427,7774,9116,8739,7582,213,41,6265,93,665,491,1047,1882,9567,3542,661,2089,519,3811,469,150,3961,940,934,41587,18119,26659,144
202021,Academic year,Local authority,E92000001,England,London,E12000007,301,E09000002,Barking and Dagenham,64,44782,0,1943,3567,6871,14368,9561,5740,2541,0,21492,23290,9702,10249,9652,8779,57,38,6187,261,979,1012,672,1656,1919,3743,4894,1567,939,9248,1094,173,798,5,570,39264,22969,21211,411
202021,Academic year,Local authority,E92000001,England,London,E12000007,205,E09000013,Hammersmith and Fulham,81,27356,25,1110,1360,2665,5577,4684,2998,2347,0,14869,12487,4375,5518,3850,5097,233,17,3213,18,724,388,481,1421,218,290,228,835,960,2871,464,109,1717,611,871,24302,12286,8323,157
202021,Academic year,Local authority,E92000001,England,London,E12000007,211,E09000030,Tower Hamlets,116,48440,60,3104,3370,6664,13607,9077,6005,4167,0,23799,24641,14484,17428,9516,3913,71,15,2175,17,641,301,548,1896,452,499,28745,458,576,3474,409,252,1054,204,354,41435,16544,29456,54
