dates,Average daily temp (0F),Average daily admissions,,,
08/01/2009 - 14/01/2009,37.80,10.42857143,,,
15/01/2009 - 21/01/2009,40.34,9.428571429,,,
29/01/2009 - 04/02/2009,34.14,10,,,
12/02/2009 - 18/02/2009,40.77,9.285714286,,,
12/03/2009 - 18/03/2009,46.43,8.285714286,,,
26/03/2009 - 01/04/2009,45.27,9.428571429,,,
18/06/2009 - 24/06/2009,58.80,7.142857143,,,
25/06/2009 - 01/07/2009,66.16,7.285714286,,,
02/07/2009 - 08/07/2009,62.63,7.142857143,,,
09/07/2009 - 15/07/2009,60.23,7,,,
23/07/2009 - 29/07/2009,59.30,7.142857143,,,
13/08/2009 - 19/08/2009,63.50,7.285714286,,,
10/09/2009 - 16/09/2009,56.50,7.714285714,,,
24/09/2009 - 30/09/2009,56.51,8.571428571,,,
01/10/2009 - 07/10/2009,52.56,8.857142857,,,
22/10/2009 - 28/10/2009,54.37,9,,,
29/10/2009 - 04/11/2009,50.31,9.428571429,,,
05/11/2009 - 11/11/2009,43.81,8.571428571,,,
12/11/2009 - 18/11/2009,49.14,9.285714286,,,
31/12/2009 - 06/01/2010,30.93,11.28571429,,,
07/01/2010 - 13/01/2010,30.83,10.85714286,,,
28/01/2010 - 03/02/2010,34.87,9.285714286,,,
18/02/2010 - 24/02/2010,34.10,9.714285714,,,
11/03/2010 - 17/03/2010,43.09,8.571428571,,,
18/03/2010 - 24/03/2010,48.19,9.142857143,,,
25/03/2010 - 31/03/2010,45.83,9.285714286,,,
01/04/2010 - 07/04/2010,45.06,8.857142857,,,
13/05/2010 - 19/05/2010,51.51,9,,,
20/05/2010 - 26/05/2010,61.17,7.571428571,,,
03/06/2010 - 09/06/2010,60.37,7.714285714,,,
17/06/2010 - 23/06/2010,59.20,6.857142857,,,
15/07/2010 - 21/07/2010,63.00,7.285714286,,,
19/08/2010 - 25/08/2010,59.96,7.285714286,,,
09/09/2010 - 15/09/2010,58.80,6.857142857,,,
16/09/2010 - 22/09/2010,55.94,9,,,
28/10/2010 - 03/11/2010,51.39,9,,,
04/11/2010 - 10/11/2010,45.14,9.714285714,,,
11/11/2010 - 17/11/2010,42.16,9.714285714,,,
18/11/2010 - 24/11/2010,40.24,9.714285714,,,
25/11/2010 - 01/12/2010,29.74,10.14285714,,,
02/12/2010 - 08/12/2010,27.51,10.85714286,,,
16/12/2010 - 22/12/2010,27.09,11.14285714,,,
06/01/2011 - 12/01/2011,38.76,10.14285714,,,
13/01/2011 - 19/01/2011,45.43,9.714285714,,,
20/01/2011 - 26/01/2011,39.23,8.714285714,,,
10/02/2011 - 16/02/2011,42.61,8.571428571,,,
03/03/2011 - 09/03/2011,38.20,9,,,
10/03/2011 - 16/03/2011,44.20,8.285714286,,,
07/04/2011 - 13/04/2011,51.00,8.285714286,,,
14/04/2011 - 20/04/2011,53.43,9,,,
21/04/2011 - 27/04/2011,55.56,8.571428571,,,
12/05/2011 - 18/05/2011,52.79,8.714285714,,,
26/05/2011 - 01/06/2011,53.56,8.285714286,,,
02/06/2011 - 08/06/2011,56.99,8.857142857,,,
16/06/2011 - 22/06/2011,57.14,8.571428571,,,
14/07/2011 - 20/07/2011,58.80,7.571428571,,,
04/08/2011 - 10/08/2011,59.43,6.857142857,,,
11/08/2011 - 17/08/2011,60.86,7,,,
08/09/2011 - 14/09/2011,60.17,6.857142857,,,
15/09/2011 - 21/09/2011,55.77,8.285714286,,,
06/10/2011 - 12/10/2011,56.33,8.714285714,,,
20/10/2011 - 26/10/2011,50.74,8.142857143,,,
27/10/2011 - 02/11/2011,52.23,7.714285714,,,
03/11/2011 - 09/11/2011,50.39,9,,,
17/11/2011 - 23/11/2011,46.67,8.571428571,,,
24/11/2011 - 30/11/2011,47.57,8.571428571,,,
12/01/2012 - 18/01/2012,36.20,9.571428571,,,
19/01/2012 - 25/01/2012,43.47,8.571428571,,,
26/01/2012 - 01/02/2012,35.73,10.85714286,,,
09/02/2012 - 15/02/2012,36.09,9.428571429,,,
16/02/2012 - 22/02/2012,44.16,8.714285714,,,
08/03/2012 - 14/03/2012,46.47,9.142857143,,,
22/03/2012 - 28/03/2012,49.33,9.428571429,,,
29/03/2012 - 04/04/2012,45.53,9.428571429,,,
12/04/2012 - 18/04/2012,42.49,9.571428571,,,
19/04/2012 - 25/04/2012,45.44,8.571428571,,,
26/04/2012 - 02/05/2012,47.13,9.428571429,,,
10/05/2012 - 16/05/2012,49.77,8,,,
17/05/2012 - 23/05/2012,53.29,7.714285714,,,
31/05/2012 - 06/06/2012,52.87,9,,,
14/06/2012 - 20/06/2012,56.30,8.714285714,,,
05/07/2012 - 11/07/2012,58.69,7.142857143,,,
26/07/2012 - 01/08/2012,59.39,7.714285714,,,
02/08/2012 - 08/08/2012,60.14,7.571428571,,,
09/08/2012 - 15/08/2012,64.40,7.714285714,,,
16/08/2012 - 22/08/2012,63.81,7.571428571,,,
23/08/2012 - 29/08/2012,59.11,7.428571429,,,
30/08/2012 - 05/09/2012,57.74,7.857142857,,,
06/09/2012 - 12/09/2012,58.84,8.142857143,,,
13/09/2012 - 19/09/2012,53.99,7.285714286,,,
20/09/2012 - 26/09/2012,49.83,9.428571429,,,
27/09/2012 - 03/10/2012,51.81,9.142857143,,,
11/10/2012 - 17/10/2012,47.66,8.428571429,,,
18/10/2012 - 24/10/2012,51.21,9.428571429,,,
25/10/2012 - 31/10/2012,43.74,8.714285714,,,
01/11/2012 - 07/11/2012,41.17,10.28571429,,,
15/11/2012 - 21/11/2012,44.39,9.285714286,,,
22/11/2012 - 28/11/2012,43.41,10.14285714,,,
29/11/2012 - 05/12/2012,35.40,9.428571429,,,
20/12/2012 - 26/12/2012,43.80,9.857142857,,,
10/01/2013 - 16/01/2013,31.30,9.571428571,,,
17/01/2013 - 23/01/2013,30.16,10.14285714,,,
31/01/2013 - 06/02/2013,40.41,10.28571429,,,
07/02/2013 - 13/02/2013,34.40,9.714285714,,,
14/02/2013 - 20/02/2013,38.79,10.28571429,,,
21/02/2013 - 27/02/2013,34.61,10.57142857,,,
21/03/2013 - 27/03/2013,32.29,10.42857143,,,
28/03/2013 - 03/04/2013,34.40,9.285714286,,,
04/04/2013 - 10/04/2013,39.21,10,,,
25/04/2013 - 01/05/2013,46.31,8.857142857,,,
02/05/2013 - 08/05/2013,54.11,8.571428571,,,
23/05/2013 - 29/05/2013,49.61,9,,,
20/06/2013 - 26/06/2013,57.39,7.142857143,,,
04/07/2013 - 10/07/2013,64.03,6.857142857,,,
11/07/2013 - 17/07/2013,67.11,6.857142857,,,
25/07/2013 - 31/07/2013,64.83,7.428571429,,,
01/08/2013 - 07/08/2013,63.77,8.285714286,,,
29/08/2013 - 04/09/2013,61.03,6.857142857,,,
12/09/2013 - 18/09/2013,52.11,8.714285714,,,
